word,log_cnt
ansias,3.042969
ansiedad,3.573684
ansiosa,3.347915
ansioso,3.685025
antagonismo,1.986772
antaño,3.053078
antártida,3.023664
ante,4.640024
antecedente,2.462398
antecedentes,3.892929
antecesores,2.262451
antelación,2.811575
antena,3.379849
anteojos,3.534914
antepasado,2.74351
antepasados,3.497483
anterior,4.093702
antes,5.644439
anti,3.126131
antibiótico,2.588832
antibióticos,3.344392
anticipación,2.961895
anticipar,2.720159
anticiparse,2.271842
anticipo,3.111263
anticuado,3.283075
antiestético,1.414973
antifaz,2.30103
antigua,4.175599
antiguas,3.619198
antiguo,4.221101
antiguos,3.956936
antihigiénico,1.924279
antinatural,2.603144
antiparras,1.799341
antipático,2.731589
antisocial,2.666518
antojo,3.028571
antorcha,3.302547
antropología,2.722634
anual,3.505557
anuario,3.12969
anudar,1.778151
anulado,2.911158
anular,3.286905
anunciar,3.546296
anuncio,4.013848
anzuelo,3.361917
añadido,2.942008
añadir,3.601191
añejo,2.468347
año,5.135435
añoranza,2.363612
añorar,1.959041
años,5.652044
añoso,0.477121
apacible,2.884229
apaciguar,2.499687
apagado,3.616476
apagar,3.846585
apagón,3.237041
aparador,2.650308
aparato,3.83803
aparatos,3.436322
aparcar,3.049606
aparecer,3.927883
aparentar,2.980458
aparente,3.177536
apariencia,3.783403
apariencias,3.399154
apartado,3.353339
apartamento,4.441019
apartamentos,3.379124
apartar,3.092018
aparte,4.176236
apasionado,3.31597
apatía,2.639486
apático,2.217484
apego,2.723456
apellido,3.990694
apellidos,2.745075
apenado,3.071514
apenas,4.568213
apéndice,3.082067
aperitivo,3.190332
apertura,3.491222
apesadumbrado,2.247973
apestoso,3.476976
apetecible,2.39794
apetito,3.710117
apetitoso,2.423246
apilar,2.365488
apio,2.752816
aplastado,3.213518
aplastar,3.288026
aplaudir,2.833147
aplauso,3.647481
aplausos,3.220631
aplazar,2.716838
aplicación,3.223496
aplicaciones,2.867467
aplicada,2.702431
aplicado,2.721811
aplicar,3.233504
aplicarse,2.742725
apocado,1.623249
apoderarse,3.312177
apodo,3.486289
aporta,2.764923
aportar,2.950365
aporte,2.651278
apostar,3.904553
apóstol,2.780317
apóstoles,2.731589
apoya,3.509203
apoyado,3.210586
apoyar,3.582063
apoyo,4.318564
apreciación,2.607455
apreciado,3.033021
apreciar,3.45591
aprecio,4.024157
aprehender,2.117271
apremiante,2.285557
aprende,3.860817
aprender,4.509081
aprendido,4.088915
aprendiz,3.498999
aprendizaje,3.191451
aprendizajes,1.20412
aprendo,3.11059
apresar,2.372912
apresurado,2.897077
apretada,2.989895
apretado,3.42586
apretados,3.004751
apretar,3.45894
aprieta,3.584557
apriete,3.025715
aprieto,3.310693
